year mm dd vehcd min rentamt
2019 8 1 FE942 88 23
2019 8 1 FE943 21 6.25
2019 8 1 FE943 8 3
2019 8 1 FE943 18 5.5
2019 8 1 FE943 74 19.5
2019 8 1 FE943 16 5
2019 8 1 FE944 51 13.75
2019 8 1 FE944 53 14.25
2019 8 1 FE946 36 10
2019 8 1 FE946 1 1.25
2019 8 1 FE946 7 2.75
2019 8 1 FE947 11 3.75
2019 8 1 FE947 36 10
2019 8 1 FE948 56 15
2019 8 1 FE948 26 7.5
2019 8 1 FE950 73 19.25
2019 8 1 FE952 84 22
2019 8 1 FE954 19 5.75
2019 8 1 FE955 73 19.25
2019 8 1 FM001 21 6.25
2019 8 1 FM001 30 8.5
2019 8 1 FM005 12 4
2019 8 1 FM005 93 24.25
2019 8 1 FM007 89 23.25
2019 8 1 FM007 67 17.75
2019 8 1 FM008 39 10.75
2019 8 1 FM008 29 8.25
2019 8 1 FM010 18 5.5
2019 8 1 FM012 28 8
2019 8 1 FM012 35 9.75
2019 8 1 FM013 13 4.25
2019 8 1 FM013 44 12
2019 8 1 FM013 6 2.5
2019 8 1 FM015 18 5.5
2019 8 1 FM015 47 12.75
2019 8 2 FE942 28 8
2019 8 2 FE942 9 3.25
2019 8 2 FE944 64 17
2019 8 2 FE945 43 11.75
2019 8 2 FE945 15 4.75
2019 8 2 FE945 11 3.75
2019 8 2 FE947 39 10.75
2019 8 2 FE947 29 8.25
2019 8 2 FE948 74 19.5
2019 8 2 FE948 71 18.75
2019 8 2 FE949 17 5.25
2019 8 2 FE949 19 5.75
2019 8 2 FE951 7 2.75
2019 8 2 FE953 48 13
2019 8 2 FE955 27 7.75
2019 8 2 FE955 100 26
2019 8 2 FM002 10 3.5
2019 8 2 FM003 19 5.75
2019 8 2 FM005 53 14.25
2019 8 2 FM005 10 3.5
2019 8 2 FM007 58 15.5
2019 8 2 FM009 15 4.75
2019 8 2 FM010 18 5.5
2019 8 2 FM011 26 7.5
2019 8 2 FM013 82 21.5
2019 8 2 FM014 12 4
2019 8 3 FE943 59 15.75
2019 8 3 FE944 64 17
2019 8 3 FE944 10 3.5
2019 8 3 FE946 24 7
2019 8 3 FE947 38 10.5
2019 8 3 FE948 47 12.75
2019 8 3 FE949 45 12.25
2019 8 3 FE950 81 21.25
2019 8 3 FE951 21 6.25
2019 8 3 FE951 8 3
2019 8 3 FE953 3 1.75
2019 8 3 FE955 2 1.5
2019 8 3 FE955 9 3.25
2019 8 3 FE956 20 6
2019 8 3 FM001 11 3.75
2019 8 3 FM003 55 14.75
2019 8 3 FM004 25 7.25
2019 8 3 FM005 47 12.75
2019 8 3 FM005 61 16.25
2019 8 3 FM006 93 24.25
2019 8 3 FM008 9 3.25
2019 8 3 FM008 55 14.75
2019 8 3 FM009 50 13.5
2019 8 3 FM009 26 7.5
2019 8 3 FM009 7 2.75
2019 8 3 FM010 47 12.75
2019 8 3 FM012 6 2.5
2019 8 3 FM013 49 13.25
2019 8 3 FM013 26 7.5
2019 8 3 FM014 70 18.5
2019 8 4 FE942 10 3.5
2019 8 4 FE942 14 4.5
2019 8 4 FE942 19 5.75
2019 8 4 FE943 11 3.75
2019 8 4 FE945 78 20.5
2019 8 4 FE946 76 20
2019 8 4 FE947 106 27.5
2019 8 4 FE949 41 11.25
2019 8 4 FE949 20 6
2019 8 4 FE950 91 23.75
2019 8 4 FE950 24 7
2019 8 4 FE950 6 2.5
2019 8 4 FE951 58 15.5
2019 8 4 FE951 13 4.25
2019 8 4 FE952 16 5
2019 8 4 FE953 18 5.5
2019 8 4 FE953 92 24
2019 8 4 FM001 23 6.75
